검진청구항목기준년도,건강검진청구항목코드,건강검진청구항목코드명,건강검진유형구분코드,건강검진유형상세코드
2023,X1101009,핵산증폭-정량그룹2,핵산증폭-정량그룹2,X
2023,D3201065,(대장암)내시경하생검,(대장암)내시경하생검,D
2023,D3201066,(대장암)병리조직검사,(대장암)병리조직검사,D
2023,D3102050,(위암)필름료10*12:6매,(위암)필름료10*12:6매,D
2023,D3102052,(위암)발포과립,(위암)발포과립,D
2023,D3102053,(위암)CRorDR,(위암)CRorDR,D
2023,D3102054,(위암)FullPACS,(위암)FullPACS,D
2023,D3102055,(위암)검사료,(위암)검사료,D
2023,D3102056,(위암)주사약제(아트로핀),(위암)주사약제(아트로핀),D
2023,D3102057,(위암)주사약제(부스코판),(위암)주사약제(부스코판),D
2023,D3102058,(위암)주사료,(위암)주사료,D
2023,D3201006,(대장암)분변잠혈(RPHA),(대장암)분변잠혈(RPHA),D
2023,D3201007,(대장암)대장이중조영검사(직촬),(대장암)대장이중조영검사(직촬),D
2023,D3201008,(대장암)대장내시경검사(전처치재료4L),(대장암)대장내시경검사(전처치재료4L),D
2023,D3201009,(대장암)대장내시경검사(전처치재료2L),(대장암)대장내시경검사(전처치재료2L),D
2023,D3201010,(대장암)대장내시경검사(전처치재료354㎖),(대장암)대장내시경검사(전처치재료354㎖),D
2023,D3201016,(대장암)분변잠혈(정량법),(대장암)분변잠혈(정량법),D
2023,D3201021,(대장암)상담료및행정비용,(대장암)상담료및행정비용,D
2023,D3201037,(대장암)대장이중조영(CR/DR),(대장암)대장이중조영(CR/DR),D
2023,D3201038,(대장암)대장이중조영(FullPacs),(대장암)대장이중조영(FullPacs),D
2023,D3201040,(대장암)포셉,(대장암)포셉,D
2023,D3201045,(대장암)상담료공휴일가산,(대장암)상담료공휴일가산,D
2023,D3201046,(대장암)장애인안전편의관리비(분변),(대장암)장애인안전편의관리비(분변),D
2023,D3201047,(대장암)장애인안전편의관리비(조영),(대장암)장애인안전편의관리비(조영),D
2023,A1102047,CRorDR,CRorDR,A
2023,A1102048,FullPACS,FullPACS,A
2023,A2101030,2차상담료,2차상담료,A
2023,A2101043,2차상담료공휴일가산,2차상담료공휴일가산,A
2023,A2101046,생활습관흡연,생활습관흡연,A
2023,A2101047,생활습관음주,생활습관음주,A
2023,A2101048,생활습관운동,생활습관운동,A
2023,A2101049,생활습관영양,생활습관영양,A
2023,A2101050,생활습관비만,생활습관비만,A
2023,A2101051,생활습관상담료(기본료),생활습관상담료(기본료),A
2023,C1101001,구강검사진찰및상담,구강검사진찰및상담,C
2023,C1101002,치면세균막검사,치면세균막검사,C
2023,C1101003,구강검사진찰및상담공휴일가산,구강검사진찰및상담공휴일가산,C
2023,D3101001,(위암)상담료및행정비용,(위암)상담료및행정비용,D
2023,D3101003,(위암)위내시경검사,(위암)위내시경검사,D
2023,D3101004,(위암)조직검사,(위암)조직검사,D
2023,D3101040,(위암)포셉,(위암)포셉,D
2023,D3101044,(위암)상담료공휴일가산,(위암)상담료공휴일가산,D
2023,D3101045,(위암)장애인안전편의관리비(조영),(위암)장애인안전편의관리비(조영),D
2023,D3101046,(위암)장애인안전편의관리비(내시경),(위암)장애인안전편의관리비(내시경),D
2023,D3101053,(위암)세척료,(위암)세척료,D
2023,D3102049,(위암)촬영및판독료,(위암)촬영및판독료,D
2023,P1101026,B형간염표면항원(정밀RIA),B형간염표면항원(정밀RIA),P
2023,P1101027,B형간염표면항체(정밀RIA),B형간염표면항체(정밀RIA),P
2023,P1101028,(기본검진)상담료공휴일가산,(기본검진)상담료공휴일가산,P
2023,P1101029,장애인안전편의관리비,장애인안전편의관리비,P
2023,P1101030,C형간염항체(일반),C형간염항체(일반),P
2023,P1101031,C형간염항체(EIA),C형간염항체(EIA),P
2023,P1101032,C형간염항체(RIA),C형간염항체(RIA),P
2023,P2101001,상담료및행정비용,상담료및행정비용,P
2023,P2101005,매독혈청일반,매독혈청일반,P
2023,P2101006,매독혈청정밀,매독혈청정밀,P
2023,P2101007,HIV일반,HIV일반,P
2023,P2101008,HIV정밀,HIV정밀,P
2023,P2101009,HIV항원/항체동시선별,HIV항원/항체동시선별,P
2023,P2101010,(추가검진)상담료공휴일가산,(추가검진)상담료공휴일가산,P
2023,P3101001,상담료,상담료,P
2023,P3101002,공휴일가산,공휴일가산,P
2023,P3102005,요검사,요검사,P
2023,P3103010,총콜레스테롤,총콜레스테롤,P
2023,P3103011,트리글리세라이드,트리글리세라이드,P
2023,P3103012,HDL콜레스테롤,HDL콜레스테롤,P
2023,P3103014,공복혈당,공복혈당,P
2023,P3103028,LDL콜레스테롤,LDL콜레스테롤,P
2023,P3104051,실시간역전사중합효소연쇄반응법(정성),실시간역전사중합효소연쇄반응법(정성),P
2023,P3104052,실시간역전사중합효소연쇄반응법(정량),실시간역전사중합효소연쇄반응법(정량),P
2023,P3105053,매독감작혈구응집[일반면역검사](정성),매독감작혈구응집[일반면역검사](정성),P
2023,P3105054,매독감작혈구응집[일반면역검사](역가),매독감작혈구응집[일반면역검사](역가),P
2023,P3105055,매독항체[정밀면역검사](정성),매독항체[정밀면역검사](정성),P
2023,P3106056,장애인안전편의관리비,장애인안전편의관리비,P
2023,Q1101001,구강검사및구강건강상담,구강검사및구강건강상담,Q
2023,Q1101002,(구강검진)검사및상담공휴일가산,(구강검진)검사및상담공휴일가산,Q
2023,R3501001,(자궁경부암)상담료및행정비용,(자궁경부암)상담료및행정비용,R
2023,R3501002,(자궁경부암)자궁경부세포검사,(자궁경부암)자궁경부세포검사,R
2023,R3501003,(자궁경부암)상담료공휴일가산,(자궁경부암)상담료공휴일가산,R
2023,R3501004,(자궁경부암)장애인안전편의관리비,(자궁경부암)장애인안전편의관리비,R
2023,R3502001,(자궁경부암)자궁경부세포검사(중복자궁),(자궁경부암)자궁경부세포검사(중복자궁),R
2023,D3201012,(대장암)대장내시경검사(전처치재료45.26g),(대장암)대장내시경검사(전처치재료45.26g),D
2023,P2101011,성매개질환,성매개질환,P
2023,D3701001,(폐암)상담료및행정비용,(폐암)상담료및행정비용,D
2023,D3701002,(폐암)저선량흉부CT검사,(폐암)저선량흉부CT검사,D
2023,D3701003,(폐암)사후결과상담,(폐암)사후결과상담,D
2023,D3701004,(폐암)상담료공휴일가산,(폐암)상담료공휴일가산,D
2023,D3701005,(폐암)장애인안전편의관리비,(폐암)장애인안전편의관리비,D
2023,P2101029,장애인안전편의관리비,장애인안전편의관리비,P
2023,D3101047,(위암)위장조영검사(직촬/바륨분말300g),(위암)위장조영검사(직촬/바륨분말300g),D
2023,D3101048,(위암)위장조영검사(직촬/바륨분말340g),(위암)위장조영검사(직촬/바륨분말340g),D
