claim_basis_year,claim_item_code,claim_item_name,source_type_field_raw,source_detail_field_raw,type_code_normalized,code_family_prefix,official_detail_code,first_seen_year,last_seen_year,is_latest_year_row,is_active_in_latest_year,user_visibility,app_usage,quality_flags
2024,X1101004,핵의학적방법(정밀),핵의학적방법(정밀),X,X,X11,,2020,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,X1101007,핵산증폭-정성그룹2,핵산증폭-정성그룹2,X,X,X11,,2020,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,X1101008,핵산증폭-정성그룹3,핵산증폭-정성그룹3,X,X,X11,,2020,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,X1101009,핵산증폭-정량그룹2,핵산증폭-정량그룹2,X,X,X11,,2020,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,D3201014,(대장암)대장내시경검사(전처치재료기타),(대장암)대장내시경검사(전처치재료기타),D,D,D32,,2024,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,A1101029,흉부방사선FullPacs(판독의뢰:FullPACS비용삭감),흉부방사선FullPacs(판독의뢰:FullPACS비용삭감),A,A,A11,,2024,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,D3101054,(위암)위장조영검사(FullPACS/바륨분말300g)(판독의뢰:FullPACS비용삭감),(위암)위장조영검사(FullPACS/바륨분말300g)(판독의뢰:FullPACS비용삭감),D,D,D31,,2024,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,D3101055,(위암)위장조영검사(FullPACS/바륨분말340g)(판독의뢰:FullPACS비용삭감),(위암)위장조영검사(FullPACS/바륨분말340g)(판독의뢰:FullPACS비용삭감),D,D,D31,,2024,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,D3301049,(유방암)유방촬영(FullPacs)-양측(판독의뢰:FullPACS비용삭감),(유방암)유방촬영(FullPacs)-양측(판독의뢰:FullPACS비용삭감),D,D,D33,,2024,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
2024,D3301050,(유방암)유방촬영(FullPacs)-편측(판독의뢰:FullPACS비용삭감),(유방암)유방촬영(FullPacs)-편측(판독의뢰:FullPACS비용삭감),D,D,D33,,2024,2024,True,True,INTERNAL_ONLY,CLAIM_ETL_MAPPING_ONLY,SOURCE_TYPE_FIELD_CONTAINS_LABEL_NOT_CODE|SOURCE_DETAIL_FIELD_CONTAINS_TYPE_CODE|OFFICIAL_DETAIL_CODE_UNAVAILABLE_IN_ATTACHMENT|SOURCE_TYPE_FIELD_DUPLICATES_ITEM_NAME
